refcat,m2,label,destacar,multipoligono
45155A00520126,297065,20126,si,no
45155A00530119,693464,30119,si,no
45155A00530126,4741,30126,si,no
45155A00540126,2676,40126,si,no
45155A00600008,8910,00008,si,no
45155A00600011,180584,00011,si,no
45155A00600012,8211,00012,si,no
45155A00600014,638,00014,si,no
45155A00600015,665,00015,si,no
45155A00600016,2679,00016,si,no
45155A00600017,1336,00017,si,no
45155A00600021,1300,00021,si,no
45155A00600022,3683,00022,si,no
45155A00600026,1668,00026,si,no
45155A00600027,1942,00027,si,no
45155A00600028,1858,00028,si,no
45155A00600029,2610,00029,si,no
45155A00600030,1190,00030,si,no
45155A00600031,1791,00031,si,no
45155A00600032,1671,00032,si,no
45155A00600033,2135,00033,si,no
45155A00600034,2684,00034,si,no
45155A00600035,719,00035,si,no
45155A00600037,1804,00037,si,no
45155A00600038,603,00038,si,no
45155A00600040,764,00040,si,no
45155A00600041,1229,00041,si,no
45155A00600042,2221,00042,si,no
45155A00600044,2604,00044,si,no
45155A00600045,2065,00045,si,no
45155A00600046,2981,00046,si,no
45155A00600047,2494,00047,si,no
45155A00600051,3462,00051,si,no
45155A00600052,3243,00052,si,no
45155A00600053,3518,00053,si,no
45155A00600054,10884,00054,si,no
45155A00600055,8418,00055,si,no
45155A00600056,5791,00056,si,no
45155A00600057,6292,00057,si,no
45155A00600059,6763,00059,si,no
45155A00600060,3733,00060,si,no
45155A00600061,8072,00061,si,no
45155A00600062,10706,00062,si,no
45155A00600063,11704,00063,si,no
45155A00600064,12535,00064,si,no
45155A00600065,2925,00065,si,no
45155A00600066,2923,00066,si,no
45155A00600067,5852,00067,si,no
45155A00600069,2925,00069,si,no
45155A00600070,2922,00070,si,no
45155A00600071,2926,00071,si,no
45155A00600072,4969,00072,si,no
45155A00600073,4291,00073,si,no
45155A00600074,2429,00074,si,no
45155A00600092,2843,00092,si,no
45155A00600093,7772,00093,si,no
45155A00600094,5190,00094,si,no
45155A00600114,166445,00114,si,no
45155A00600117,14803,00117,si,si
45155A00600118,26413,00118,si,no
45155A00600128,276599,00128,si,no
45155A00600137,1408,00137,si,no
45155A00600140,1937,00140,si,no
45155A00600141,2203,00141,si,no
45155A00600142,1669,00142,si,no
45155A00600143,7883,00143,si,no
45155A00600144,3185,00144,si,no
45155A00600146,999,00146,si,no
45155A00600147,13840,00147,si,no
45155A00600148,11629,00148,si,no
45155A00610123,524517,10123,si,no
45155A00610128,7117,10128,si,no
45155A00611114,233587,11114,si,no
45155A00612114,283053,12114,si,no
45155A00614114,446820,14114,si,no
45155A00620114,481853,20114,si,no
45155A00620123,4697,20123,si,no
45155A00630114,1607351,30114,si,no
45155A00640114,794928,40114,si,no
45155A00650114,13493,50114,si,no
45155A00660001,61320,60001,si,no
45155A00660002,18013,60002,si,no
45155A00660003,829,60003,si,no
45155A00660004,821,60004,si,no
45155A00660005,2561,60005,si,no
45155A00680114,131263,80114,si,no
45155A00690114,154525,90114,si,no
45155A00700001,5754,00001,si,no
45155A00700002,44144,00002,si,no
45155A00700003,118058,00003,si,no
45155A00700004,17847,00004,si,no
45155A00700006,6313,00006,si,no
45155A00700007,203185,00007,si,no
45155A00700008,7130,00008,si,no
45155A00700010,152016,00010,si,no
45155A00700014,59072,00014,si,no
45155A00700015,136192,00015,si,no
45155A00700016,303705,00016,si,no
45155A00700017,4033,00017,si,no
45155A00700018,3449,00018,si,no
45155A00700019,7630,00019,si,no
45155A00700026,3146,00026,si,no
45155A00700027,1632,00027,si,no
45155A00700028,2071,00028,si,no
45155A00700029,1998,00029,si,no
45155A00700030,1846,00030,si,no
45155A00700031,773,00031,si,no
45155A00700032,8811,00032,si,no
45155A00700033,2924,00033,si,no
45155A00700034,1425,00034,si,no
45155A00700035,1633,00035,si,no
