refcat,refcat_parcela,municipio,sigla_via,via,planta,puerta,escalera,clase_bien,uso,clave_uso,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,base_liquidable_eur,tipo_impositivo,cuota_ibi_eur,exento,bonificado,tasa_basura_eur,tasa_basura_registros,tiene_padron_tasas
4558405UK5345N0001DK,4558405UK5345N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 8R 0492,OD,OS,T,UR,Residencial,V,66550.73,16193.21,50357.52,66550.73,0.42,279.51,N,,50.00,1,1
3828608UK5332N0001ZO,3828608UK5332N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S3 0177,OD,OS,T,UR,Residencial,V,83236.85,19395.33,63841.52,83236.85,0.42,349.59,N,,50.00,1,1
4722449UK5342S0001SZ,4722449UK5342S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SC 0017,OD,OS,T,UR,Residencial,V,48866.50,14795.17,34071.33,48866.50,0.42,205.24,N,,50.00,1,1
3853821UK5335S0001AX,3853821UK5335S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 7R 0280,OD,OS,T,UR,Residencial,V,60988.81,13857.31,47131.50,60988.81,0.42,256.15,N,,50.00,1,1
4816812UK5341N0001YL,4816812UK5341N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA SI 0009,OD,OS,T,UR,Residencial,V,57252.40,13867.84,43384.56,57252.40,0.42,240.46,N,,50.00,1,1
4421110UK5342S0001WZ,4421110UK5342S,SAN ROMAN DE LOS MONTES,AV,PLAYA 0010,OD,OS,T,UR,Residencial,V,36107.67,2704.69,33402.98,36107.67,0.42,151.65,N,,50.00,1,1
3557401UK5335N0001TF,3557401UK5335N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 7R 0295,OD,OS,T,UR,Residencial,V,77247.50,11732.17,65515.33,77247.50,0.42,324.44,N,,,0,0
2471201UK5327S0001OY,2471201UK5327S,SAN ROMAN DE LOS MONTES,CL,HINOJOSA 0011,OD,OS,T,UR,Residencial,V,4860.17,3732.50,1127.67,4860.17,0.42,20.41,N,,,0,0
2471522UK5327S0001KY,2471522UK5327S,SAN ROMAN DE LOS MONTES,CL,VIRGEN DEL BUEN CAMINO 0034,OD,OS,T,UR,Residencial,V,55482.38,18348.40,37133.98,55482.38,0.42,233.03,N,,50.00,1,1
3737413UK5333N0001ME,3737413UK5333N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0223,OD,OS,T,UR,Residencial,V,72083.68,15264.47,56819.21,72083.68,0.42,302.75,N,,50.00,1,1
3632418UK5333S0001TA,3632418UK5333S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0197,OD,OS,T,UR,Residencial,V,133544.73,15677.56,117867.17,133544.73,0.42,560.89,N,,50.00,1,1
4820913UK5342S0001QZ,4820913UK5342S,SAN ROMAN DE LOS MONTES,CL,MAR CRISTAL 0020,OD,OS,T,UR,Residencial,V,28424.91,7165.75,21259.16,28424.91,0.42,119.38,N,,50.00,1,1
4138715UK5343N0001RU,4138715UK5343N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0284,OD,OS,T,UR,Residencial,V,53973.77,12933.48,41040.29,53973.77,0.42,226.69,N,,50.00,1,1
4820928UK5342S0001JZ,4820928UK5342S,SAN ROMAN DE LOS MONTES,CL,MAR CRISTAL 0026,OD,OS,T,UR,Residencial,V,16285.31,3407.23,12878.08,16285.31,0.42,68.40,N,,50.00,1,1
4138709UK5343N0001MU,4138709UK5343N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S5 0275,OD,OS,T,UR,Residencial,V,63847.69,19355.99,44491.70,63847.69,0.42,268.16,N,,,0,0
3724905UK5332S0001JJ,3724905UK5332S,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S2 0246,OD,OS,T,UR,Residencial,V,92278.79,15456.27,76822.52,92278.79,0.42,387.57,N,,50.00,1,1
4558413UK5345N0001SK,4558413UK5345N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S 8R 0484,OD,OS,T,UR,Residencial,V,68311.84,13888.92,54422.92,68311.84,0.42,286.91,N,,50.00,1,1
4428914UK5342N0001DD,4428914UK5342N,SAN ROMAN DE LOS MONTES,UR,SERR PLAYA S4 0081,OD,OS,T,UR,Residencial,V,109596.47,13936.68,95659.79,109596.47,0.42,460.31,N,,50.00,1,1
