refcat,n_unidades,uso_dominante,es_mixta,valor_catastral_eur,valor_suelo_eur,valor_construccion_eur,cuota_ibi_eur,n_exentos,n_bonificados,habitantes_estimados,densidad_hab_por_unidad,via_referencia
3727818UK5332N,1,Deportivo,0,62532.82,15785.76,46747.06,262.64,0,0,0,0,UR SERR PLAYA S2 0295
3552306UK5335S,1,Deportivo,0,37174.44,13762.48,23411.96,156.13,0,0,0,0,UR SERR PLAYA S 7R 0213
4719701UK5341N,1,Deportivo,0,33350.71,18827.69,14523.02,140.07,0,0,0.11,0.11,UR SERR PLAYA SE 0018
3222413UK5332S,1,Deportivo,0,29650.68,14580.90,15069.78,124.53,0,0,0,0,UR SERR PLAYA S2 0222
4121904UK5342S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,28895.57,28895.57,0.00,121.36,0,0,0,0,UR SERR PLAYA SB 0001
2471217UK5327S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,9291.73,9291.73,0.00,39.03,0,0,0.67,0.67,CL VIRGEN DEL BUEN CAMINO 0026
2473301UK5327S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,8003.76,8003.76,0.00,33.62,0,0,0,0,CR TALAVERA-SM VALDEIGLESIAS 0040
3818414UK5331N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,12465.93,12465.93,0.00,52.36,0,0,0,0,UR SERR PLAYA S1 0017
4722403UK5342S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,10889.14,10889.14,0.00,45.73,0,0,0.5,0.5,UR SERR PLAYA SC 0028
4816804UK5341N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,2980.69,2980.69,0.00,12.52,0,0,0,0,UR SERR PLAYA SI 0023
5421519UK5352S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,12586.91,12586.91,0.00,52.87,0,0,1,1,UR SERR PLAYA SJ 0021
2270410UK5327S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,7359.78,7359.78,0.00,30.91,0,0,0,0,CL CASTILLO 0036
2671103UK5327S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,29626.53,29626.53,0.00,124.43,0,0,0,0,CL HUERTAS 0005
2070705UK5327S,1,"Obras de urbanización y jardinería, suelos sin edificar",0,4942.75,4942.75,0.00,20.76,0,0,3,3,CR TALAVERA-SM VALDEIGLESIAS 0011
2568513UK5326N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,16358.80,16358.80,0.00,68.71,0,0,0,0,AV SERRANILLOS 0017
4138706UK5343N,1,"Obras de urbanización y jardinería, suelos sin edificar",0,9394.31,9394.31,0.00,39.46,0,0,0,0,UR SERR PLAYA S5 0278
